date,name,value
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Chris-Gutierrez,1808.1352123268089
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Omari-Akhmedov,1807.3508675629616
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Raoni-Barcelos,1805.9075159280492
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Darren-Elkins,1805.774983725608
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
2021-01-01,Randy-Brown,1804.8433251657411
